KONAMI ID,レアリティ,カード名
4217,N,サンダー・キッズ
4218,N,バビロン
4219,R,アクア・マドール
4220,N,紫炎の影武者
4221,R,フレイム・ゴースト
4222,N,ドリアード
4223,UR,ブラック・デーモンズ・ドラゴン
4224,N,二つの口を持つ闇の支配者
4225,N,ソリテュード
4226,R,仮面魔道士
4227,N,蜘蛛男
4228,N,ミッドナイト・デビル
4229,N,轟きの大海蛇
4230,N,トラップ・マスター
4231,N,呪われし魔剣
4232,N,デス・ストーカー
4233,N,ヒトデンチャク
4234,N,森の屍
4235,N,命の砂時計
4236,N,レア・フィッシュ
4237,N,ウッド・ジョーカー
4238,N,魔人銃
4239,N,暗黒魔神 ナイトメア
4240,N,斬首の美女
4241,N,森の住人 ウダン
4242,N,冥界の番人
4243,N,はにわ
4244,N,ヤシの木
4245,N,ヴィシュワ・ランディー
4246,N,デス・フット
4247,N,闇の暗殺者
4248,N,運命のろうそく
4249,N,ウォーター・エレメント
4250,N,マグマン
4251,N,D・ナポレオン
4252,N,魂を狩る者
4253,N,ルート・ウォーター
4254,N,マスター・アン・エキスパート
4255,N,水の踊り子
4256,N,氷
4257,N,恍惚の人魚
4258,N,キャッツ・フェアリー
4259,N,エンジェル・魔女
4260,N,未熟な悪魔
4261,N,プリヴェント・ラット
4262,R,異次元の戦士
4263,N,ストーン・アルマジラー
4264,R,沼地の魔獣王
4265,N,古代魔導士
4266,N,月の女神 エルザェム
4267,N,悪魔の鏡
4268,N,アイルの小剣士
4269,N,ウォー・アース
4270,N,ウィング・エッグ・エルフ
4271,N,怒りの海王
4272,N,剣の女王
4273,N,悪の無名戦士
4274,N,闇にしたがう者
4275,R,破壊神 ヴァサーゴ
4276,N,ウェザ
4277,N,メギラス・ライト
4278,N,マブラス
4279,N,悟りの老樹
4280,N,緑樹の霊王
4281,N,陸戦型 バグロス
4282,N,北風と太陽
4283,N,ゴーゴン・エッグ
4284,N,プチモス
4285,N,キング・スモーク
4286,N,王座の守護者
4287,N,バーサーカー
4288,N,スリーピィ
4289,N,ホログラー
4290,N,陰陽師 タオ
4291,N,デビル・スネーク
4292,N,ゲート・キーパー
4293,N,黒い影の鬼王
4294,N,闇の芸術家
4295,N,チェンジ・スライム
4296,N,月の使者
4297,N,炎の魔神
4298,N,サイコ・カッパー
4299,N,伝説の剣豪 MASAKI
4300,R,魔装騎士ドラゴネス
4301,N,B・プラント
4302,N,一眼の盾竜
4303,N,魔界の機械兵
4304,N,魔頭を持つ邪竜
4305,N,音女
4306,N,ドレイク
4307,N,伝説の剣
4308,N,闇の破神剣
4309,N,闇・エネルギー
4310,R,デーモンの斧
4311,N,レーザー砲機甲鎧
4312,R,火器付機甲鎧
4313,N,エルフの光
4314,N,猛獣の歯
4315,N,はがねの甲羅
4316,N,魔菌
4317,R,黒いペンダント
4318,N,銀の弓矢
4319,N,光の角
4320,R,一角獣のホーン
4321,N,ドラゴンの秘宝
4322,N,電撃鞭
4323,N,サイバー・ボンテージ
4324,N,万華鏡-華麗なる分身-
4325,N,魔性の月
4326,N,『守備』封じ
4327,N,悪魔のくちづけ
4328,N,紫水晶
4329,N,秘術の書
4330,N,覚醒
4331,N,機械改造工場
4332,N,体温の上昇
4333,N,フォロー・ウィンド
4334,N,ポセイドンの力
4335,N,ドラゴン族・封印の壺
4336,N,森
4337,N,荒野
4338,N,山
4339,N,草原
4340,R,海
4341,N,闇
4342,SR,ブラック・ホール
4343,UR,サンダー・ボルト
4344,,モウヤンのカレー
4345,N,レッド・ポーション
4346,N,ゴブリンの秘薬
4347,N,天使の生き血
4348,N,治療の神 ディアン・ケト
4349,N,火の粉
4350,N,ファイヤー・ボール
4351,R,火あぶりの刑
4352,N,昼夜の大火事
4353,R,火炎地獄
4354,SR,光の護封剣
4355,,六芒星の呪縛
4356,N,闇をかき消す光
4357,N,ヤランゾ
4358,SR,女剣士カナン
4359,N,タクリミノス
4360,N,くいぐるみ
4361,N,メガソニック・アイ
4362,R,スーパー・ウォー・ライオン
4363,N,ヤマドラン
4364,SR,ホーリー・ナイト・ドラゴン
4365,N,2人3脚ゾンビ
4366,N,ゼラ
4367,N,トビペンギン
4368,SR,千年の盾
4369,R,妖精の贈りもの
4370,N,カオス・ソルジャー
4371,R,デビルズ・ミラー
4372,N,迷宮壁-ラビリンス・ウォール-
4373,N,地雷蜘蛛
4374,R,シャドウ・グール
4375,N,ウォール・シャドウ
4376,N,迷宮の魔戦車
4377,R,雷魔神-サンガ
4378,R,風魔神-ヒューガ
4379,R,水魔神-スーガ
4380,R,ゲート・ガーディアン
4381,N,ダンジョン・ワーム
4382,N,地獄の魔物使い
4383,N,ガーゴイル・パワード
4384,N,復讐のソード・ストーカー
4385,N,ランプの魔精・ラ・ジーン
4386,R,青眼の究極竜
4387,N,トゥーン・アリゲーター
4388,N,ルード・カイザー
4389,N,パロット・ドラゴン
4390,N,ダーク・ラビット
4391,N,デビル・ボックス
4392,N,ハーピィズペット竜
4393,N,魔法のランプ
4394,N,振り子刃の拷問機械
4395,N,魔導騎士ギルティア
4396,N,TM-1ランチャースパイダー
4397,N,デビルゾア
4398,N,メタル・デビルゾア
4399,N,ゾーン・イーター
4400,N,鉄のサソリ
4401,N,ダンシング・エルフ
4402,N,エンゼル・イヤーズ
4403,N,レッグル
4404,N,ラージマウス
4405,N,異国の剣士
4406,N,水陸の帝王
4407,N,牛鬼
4408,R,モンスター・アイ
4409,N,レオグン
4410,N,シーホース
4411,N,キラー・マシーン
4412,N,カッター・ロボ
4413,N,機械王
4414,N,機械の巨兵
4415,R,メタル・ドラゴン
4416,N,カラクリ蜘蛛
4417,N,バット
4418,N,ギガテック・ウルフ
4419,N,機械の兵隊
4420,N,シャベル・クラッシャー
4421,R,メカ・ハンター
4422,N,ブロッカー
4423,N,ミスター・ボンバー
4424,N,ゴルゴイル
4425,N,ギガント
4426,UR,デビル・フランケン
4427,N,コマンダー
4428,N,人造人間7号
4429,N,ダイス・アルマジロ
4430,N,天空竜
4431,R,サンダー・ドラゴン
4432,N,ストーン・ドラゴン
4433,N,カイザー・ドラゴン
4434,R,聖なる魔術師
4435,R,きまぐれの女神
4436,N,水の魔導師
4437,N,氷水
4438,N,ウンディーネ
4439,N,エンシェント・エルフ
4440,N,美しき魔物使い
4441,N,ウォーター・ガール
4442,N,ホワイト・ドルフィン
4443,N,深海に潜むサメ
4444,N,メタル・フィッシュ
4445,N,神魚
4446,N,レインボー・フィッシュ
4447,N,サイボーグ・バス
4448,N,アクア・ドラゴン
4449,N,海の竜王
4450,N,ツルプルン
4451,N,海を守る戦士
4452,N,アクア・スネーク
4453,N,シーザリオン
4454,N,スパイクシードラ
4455,N,3万年の白亀
4456,N,復讐のカッパ
4457,N,カニカブト
4458,N,ザリガン
4459,N,千年ゴーレム
4460,N,破壊のゴーレム
4461,N,ガンロック
4462,N,岩の戦士
4463,N,ストーン・ゴースト
4464,N,雷神の怒り
4465,N,地雷獣
4466,N,ボルト・エスカルゴ
4467,N,ボルト・ペンギン
4468,N,雷仙人
4469,N,エレクトリック・スネーク
4470,N,ウイング・イーグル
4471,N,裁きの鷹
4472,N,スカイ・ハンター
4473,N,紅陽鳥
4474,N,クイーン・バード
4475,R,青い忍者
4476,N,マジカル・ゴースト
4477,N,ソウル・ハンター
4478,N,エア・イーター
4479,N,朱雀
4480,N,シーカーメン
4481,SR,キラー・スネーク
4482,N,ガニグモ
4483,N,インセクション
4484,N,空の昆虫兵
4485,R,コカローチ・ナイト
4486,N,クワガタ・アルファ
4487,N,バーグラー
4488,N,プラグティカル
4489,N,ガルヴァス
4490,R,アメーバ
4491,N,コロガーシ
4492,N,ブークー
4493,R,フラワー・ウルフ
4494,N,レインボー・フラワー
4495,N,マグナム・リリィ
4496,N,ニードル・ボール
4497,N,クジャック
4498,N,スーパースター
4499,R,マハー・ヴァイロ
4500,N,レインボー・マリン・マーメイド
4501,N,音楽家の帝王
4502,N,ウィルミー
4503,N,ヤドカリュー
4504,N,モリンフェン
4505,N,青虫
4506,N,竜殺者
4507,R,人喰い虫
4508,N,ドラゴヒューマン
4509,N,タートル・狸
4510,N,魔界植物
4511,N,プリズマン
4512,SR,ゲール・ドグラ
4513,N,クレイジー・フィッシュ
4514,N,メカ・ザウルス
4515,N,ブラキオレイドス
4516,N,笑う花
4517,N,ビーン・ソルジャー
4518,SR,キャノン・ソルジャー
4519,N,王室前のガーディアン
4520,N,ブレイブ・シザー
4521,N,イースター島のモアイ
4522,R,ムカムカ
4523,N,サンド・ストーン
4524,N,岩石カメッター
4525,N,ファイヤー・クラーケン
4526,N,タートル・バード
4527,N,デス・バード
4528,N,巨大な怪鳥
4529,N,悪魔の調理師
4530,N,スター・ボーイ
4531,N,山の精霊
4532,N,首狩り魔人
4533,N,ミリス・レディエント
4534,N,クラッシュマン
4535,N,フレイム・ケルベロス
4536,N,エルディーン
4537,N,砂の魔女
4538,SR,ヂェミナイ・エルフ
4539,R,クワガー・ヘラクレス
4540,N,イビー
4541,N,カマキラー
4542,N,メカレオン
4543,N,メガ・サンダーボール
4544,N,コケ
4545,N,デッド・シャーク
4546,R,スケルエンジェル
4547,R,ハネハネ
4548,N,ナイル
4549,N,舌魚
4550,N,大砲だるま
4551,N,スケルゴン
4552,N,魚ギョ戦士
4553,N,グリグル
4554,N,骨ネズミ
4555,N,カエルスライム
4556,N,ベヒゴン
4557,N,ダーク・エルフ
4558,N,ワイバーン
4559,N,マタンゴ
4560,N,バーバリアン1号
4561,N,レッド・ドラゴン
4562,N,さまよえる亡者
4563,N,鋼鉄の巨神像
4564,N,ポット・ザ・トリック
4565,N,オシロ・ヒーロー
4566,N,異次元からの侵略者
4567,N,レッサー・ドラゴン
4568,SR,ニードルワーム
4569,N,屋根裏の物の怪
4570,N,金色の魔象
4571,N,黒き人食い鮫
4572,N,ヨルムンガルド
4573,N,魔界のイバラ
4574,N,恐竜人
4575,N,生き血をすするもの
4576,N,トラコドン
4577,N,密林の黒竜王
4578,N,裁きを下す女帝
4579,N,ベビー・ティーレックス
4580,SR,黒き森のウィッチ
4581,N,深き森の長老
4582,N,ツンドラの大蠍
4583,N,カラス天狗
4584,N,レオ・ウィザード
4585,N,深淵に咲く花
4586,N,パトロール・ロボ
4587,N,タクヒ
4588,N,ヴァルキリー
4589,N,ウェザー・レポート
4590,N,封印の鎖
4591,N,メカニカルスネイル
4592,R,ドッペルゲンガー
4593,N,モン・ラーバス
4594,N,命ある花瓶
4595,N,テンタクル・プラント
4596,N,くちばしヘビ
4597,UR,メタモルポット
4598,N,ミューズの天使
4599,N,炎を食らう大亀
4600,N,バラに棲む悪霊
4601,N,アブソリューター
4602,N,大食いグール
4603,N,ペイルビースト
4604,N,リトル・キメラ
4605,N,スコール
4606,N,ロックメイス
4607,N,テンダネス
4608,N,ペンギン・ソルジャー
4609,N,フェアリー・ドラゴン
4610,N,イビル・ラット
4611,N,リクイド・ビースト
4612,N,ツインテール
4613,N,グレード・ビル
4614,N,フレンドシップ
4615,N,ブレードフライ
4616,N,でんきトカゲ
4617,R,悪魔の偵察者
4618,N,ハイ・プリーステス
4619,N,双頭の雷龍
4620,N,ハンター・スパイダー
4621,N,アーマード・スターフィッシュ
4622,N,勇気の砂時計
4623,N,マリン・ビースト
4624,R,戦場の死装束
4625,N,岩石の精霊
4626,N,スネーク・パーム
4627,N,サキュバス・ナイト
4628,N,セイレーン
4629,N,泥に潜み棲むもの
4630,N,満ち潮のマーマン
4631,N,泉の妖精
4632,N,海原の女戦士
4633,N,キャット・レディ
4634,N,見習い魔女
4635,N,鎧ネズミ
4636,N,古代のトカゲ戦士
4637,N,月明かりの乙女
4638,N,ストーンジャイアント
4639,N,誕生の天使
4640,N,ナイト・リザード
4641,N,女王の影武者
4642,N,冠を戴く蒼き翼
4643,N,トレント
4644,N,紅葉の女王
4645,N,水陸両用バグロス
4646,N,アシッドクロウラー
4647,R,王座の侵略者
4648,R,イリュージョン・シープ
4649,N,ディスク・マジシャン
4650,N,フレイム・ヴァイパー
4651,N,ロイヤルガード
4652,N,キラー・ブロッブ
4653,N,ひょうすべ
4654,N,マシン・アタッカー
4655,N,響女
4656,N,ウィップテイル・ガーゴイル
4657,R,鎖付きブーメラン
4658,N,迷宮変化
4659,R,戦士抹殺
4660,R,サラマンドラ
4662,R,成仏
4663,R,巨大化
4664,N,メタル化・魔法反射装甲
4666,R,酸の嵐
4667,R,死のデッキ破壊ウイルス
4668,R,トゲトゲ神の殺虫剤
4669,R,神の息吹
4670,R,永遠の渇水
4674,R,シャイン・キャッスル
4675,R,闇の呪縛
4676,N,カオスの儀式
4677,R,ゼラの儀式
4678,UR,ハーピィの羽根帚
4679,R,ライオンの儀式
4680,R,悪魔鏡の儀式
4682,N,踊りによる誘発
4683,N,ハンバーガーのレシピ
4685,R,ローの祈り
4687,N,粘着テープの家
4688,N,ねずみ取り
4691,N,硫酸のたまった落とし穴
4692,R,万能地雷グレイモヤ
4693,R,天狗のうちわ
4694,R,シモッチによる副作用
4695,SR,あまのじゃくの呪い
4696,R,偽物のわな
4698,N,亀の誓い
4700,R,チャクラの復活
4702,R,ジャベリンビートルの契約
4703,R,ガルマソードの誓い
4705,R,スカルライダーの復活
4706,R,要塞クジラの誓い
4707,N,ダンシング・ソルジャー
4708,N,ハングリーバーガー
4709,R,千年原人
4710,R,ローガーディアン
4711,R,トライホーン・ドラゴン
4712,R,エビルナイト・ドラゴン
4713,N,スカルビショップ
4714,R,コスモクイーン
4715,R,チャクラ
4716,N,クラブ・タートル
4717,R,クレセント・ドラゴン
4718,R,メテオ・ドラゴン
4719,SR,メテオ・ブラック・ドラゴン
4720,R,ファイヤー・ウイング・ペガサス
4722,R,ガルマソード
4723,R,ジャベリンビートル
4724,R,要塞クジラ
4725,R,スカルライダー
4727,N,カオス-黒魔術の儀式
4728,N,マジシャン・オブ・ブラックカオス
4729,N,スロットマシーンAM-7
4731,N,弓を引くマーメイド
4732,N,ドラゴン・エッガー
4733,N,トゥーン・ドラゴン・エッガー
4734,R,トゥーン・マーメイド
4735,N,トゥーン・デーモン
4736,N,ダーク・アイズ・イリュージョニスト
4737,N,サクリファイス
4738,N,タイム・ボマー
4739,N,千眼の邪教神
4740,SR,サウザンド・アイズ・サクリファイス
4741,N,鉄腕ゴーレム
4742,R,スフィア・ボム 球体時限爆弾
4743,N,ダイヤモンド・ドラゴン
4744,N,磁石の戦士α
4745,R,魔道化リジョン
4746,N,暗黒の眠りを誘うルシファー
4747,R,ロード・オブ・ドラゴン-ドラゴンの支配者-
4748,N,レッドアイズ・ブラックメタルドラゴン
4749,SR,リボルバー・ドラゴン
4750,R,ハンニバル・ネクロマンサー
4751,R,漆黒の豹戦士パンサーウォリアー
4752,N,三ツ首のギドー
4753,N,幻獣王ガゼル
4754,R,アステカの石像
4755,N,バフォメット
4756,R,有翼幻獣キマイラ
4757,R,機動砦のギア・ゴーレム
4758,SR,人造人間-サイコ・ショッカー
4759,N,ランドスターの剣士
4760,N,サイバー・レイダー
4761,R,魔導ギガサイバー
4762,R,魔鏡導士リフレクト・バウンダー
4763,N,磁石の戦士β
4764,R,ビッグ・シールド・ガードナー
4766,SR,ブラック・マジシャン・ガール
4767,N,ワイバーンの戦士
4768,R,インセクト女王
4769,SR,寄生虫パラサイド
4770,N,髑髏顔 天道虫
4771,N,リトル・ウィンガード
4772,N,代打バッター
4773,N,ブルーアイズ・トゥーン・ドラゴン
4774,N,ソードハンター
4775,N,穿孔虫
4776,N,深海の戦士
4777,N,朱い靴
4778,N,スパイク・ヘッド
4780,R,サテライト・キャノン
4785,SR,異星の最終戦士
4786,SR,デュナミス・ヴァルキリア
4787,N,ガーネシア・エレファンティス
4788,R,絶対防御将軍
4789,N,タルワール・デーモン
4790,SR,サイバティック・ワイバーン
4791,R,タロンズ・オブ・シュリーレン
4792,N,磁石の戦士γ
4794,R,時の機械-タイム・マシーン
4795,R,ものマネ幻想師
4798,N,トゥーン・ワールド
4799,N,ゴーゴンの眼
4800,R,コピーキャット
4802,N,イリュージョンの儀式
4803,R,洗脳-ブレインコントロール
4804,N,攻撃の無力化
4805,R,増殖
4806,N,7カード
4808,N,光の封札剣
4809,R,闇竜族の爪
4810,N,ドラゴンを呼ぶ笛
4811,R,右手に盾を左手に剣を
4812,UR,天使の施し
4813,R,連鎖破壊
4814,N,催眠術
4815,N,天使のサイコロ
4816,N,悪魔のサイコロ
4817,UR,精神操作
4818,UR,スケープ・ゴート
4819,N,電脳増幅器
4820,R,ルーレット・スパイダー
4821,UR,手札抹殺
4822,R,黒魔族復活の棺
4823,R,断頭台の惨劇
4826,UR,精霊の鏡
4828,R,エクトプラズマー
4830,R,黒魔術のカーテン
4831,SR,封魔の矢
4832,R,虫除けバリアー
4834,R,マジックアーム・シールド
4835,R,地割れ
4836,N,落とし穴
4837,N,融合
4837,N,融合
4838,N,罠はずし
4839,N,はさみ撃ち
4840,N,ブルー・ポーション
4841,N,雷鳴
4842,UR,死者蘇生
4843,N,魔法除去
4844,UR,強欲な壺
4845,N,墓掘りグール
4846,N,灼熱の槍
4847,N,突風の扇
4848,N,未熟な密偵
4849,N,援軍
4850,N,城壁
4851,UR,血の代償
4852,N,古代の遠眼鏡
4853,N,ホワイト・ホール
4854,N,墓場からの呼び声
4855,N,避雷針
4856,R,死者への手向け
4857,N,魂の解放
4858,N,陽気な葬儀屋
4859,N,闇からの呼び声
4860,UR,心変わり
4861,UR,神の宣告
4862,R,マジック・ジャマー
4863,R,盗賊の七つ道具
4864,R,昇天の角笛
4865,SR,自業自得
4866,SR,王宮のお触れ
4868,N,魔女狩り
4869,N,悪魔払い
4870,R,魔力の棘
4871,R,革命
4872,N,融合賢者
4873,N,執念の剣
4874,N,『攻撃』封じ
4875,R,薄幸の美少女
4876,R,追い剥ぎゴブリン
4877,N,細菌感染
4878,N,しびれ薬
4879,N,厳格な老魔術師
4880,R,幻影の壁
4881,N,魔法剣士ネオ
4882,N,邪剣男爵
4883,N,人喰い宝石箱
4884,N,デス・ソーサラー
4885,UR,遺言状
4886,N,和睦の使者
4887,SR,聖なるバリア -ミラーフォース-
4888,SR,磁力の指輪
4889,N,痛み分け
4890,N,ドーピング
4891,UR,大嵐
4892,N,グリフォンの翼
4893,R,墓守の使い魔
4894,N,邪悪な儀式
4895,UR,成金ゴブリン
4896,R,通行税
4897,N,最終戦争
4898,UR,強奪
4899,N,聖域の歌声
4900,UR,押収
4901,UR,いたずら好きな双子悪魔
4902,N,闇の訪れ
4903,N,天使の手鏡
4904,N,移り気な仕立屋
4905,R,突進
4906,N,頼もしき守護者
4907,UR,強引な番兵
4908,R,魔力の枷
4909,R,サイクロン
4910,UR,ハリケーン
4911,UR,苦渋の選択
4912,N,毒蛇の牙
4913,UR,サイバーポッド
4914,R,光の追放者
4915,N,巨大ネズミ
4916,R,センジュ・ゴッド
4917,N,UFOタートル
4918,N,秒殺の暗殺者
4919,N,カラテマン
4920,N,ダークゼブラ
4921,R,ジャイアントウィルス
4922,N,素早いモモンガ
4923,N,ダークファミリア
4924,N,シャインエンジェル
4925,N,ボアソルジャー
4926,N,グリズリーマザー
4927,N,ドラゴンフライ
4928,N,セレモニーベル
4929,N,ソニックバード
4930,N,キラー・トマト
4931,SR,コトダマ
4932,N,ガイアパワー
4933,N,ウォーターワールド
4934,N,バーニングブラッド
4935,N,デザートストーム
4936,N,シャインスパーク
4937,N,ダークゾーン
4938,SR,平和の使者
4939,N,道連れ
4940,N,突風
4941,N,猛吹雪
4942,N,ガラスの鎧
4943,N,世界の平定
4944,N,魔法探査の石版
4945,N,金属探知器
4946,N,白衣の天使
4947,R,便乗
4948,R,強制接収
4949,N,ゴブリンの小役人
4950,N,ギャンブル
4951,R,DNA改造手術
4952,N,一族の掟
4953,R,補充要員
4954,N,白兵戦
4955,N,大騒動
4956,SR,停戦協定
4957,R,聖なる輝き
4958,R,正々堂々
4960,UR,王宮の勅命
4961,R,死霊の誘い
4962,SR,マジカルシルクハット
4963,R,抹殺の使徒
4964,R,撲滅の使徒
4965,R,浅すぎた墓穴
4966,UR,早すぎた埋葬
4967,N,検閲
4968,SR,禁止令
4969,R,カオスポッド
4970,N,デスハムスター
4971,N,フレイムキラー
4972,N,ビッグバンドラゴン
4973,N,バーニングソルジャー
4974,N,ミスターボルケーノ
4975,N,炎の剣豪
4976,N,精神寄生体
4977,N,メカファルコン
4978,N,ダークバット
4979,N,フライングマンティス
4980,N,バードマン
4981,N,鬼タンクT-34
4982,N,ガトリングバギー
4983,N,バスター・ブレイダー
4984,UR,刻の封印
4985,N,墓荒らし
4986,N,ホーリー・エルフの祝福
4987,R,真実の眼
4988,R,砂塵の大竜巻
4989,SR,リビングデッドの呼び声
4990,N,ソロモンの律法書
4991,N,地殻変動
4992,N,ホーリージャベリン
4993,R,銀幕の鏡壁
4998,UR,オベリスクの巨神兵
4999,UR,オシリスの天空竜
5000,UR,ラーの翼神竜
5001,R,イタクァの暴風
5002,R,磁石の戦士マグネット・バルキリオン
5003,R,ドラゴンに乗るワイバーン
5004,R,ブラッド・ヴォルス
5005,R,破壊輪
5006,N,アクアの合唱
5007,N,セベクの祝福
5008,SR,魔封じの芳香
5009,R,フォース
5010,N,竜殺しの剣
5011,N,旧神の印
5012,R,召喚神エクゾディア
5015,N,太陽の戦士
5016,SR,王虎ワンフー
5017,R,コマンド・ナイト
5018,N,ベイオウルフ
5019,N,魔導紳士-J
5020,N,ノーブル・ド・ノワール
5021,N,バード・フェイス
5022,N,クルーエル
5023,N,天空騎士パーシアス
5024,R,妖精王オベロン
5025,N,ナーガ
5026,N,海神の巫女
5027,N,機械軍曹
5028,N,雷電娘々
5029,N,溶岩大巨人
5030,R,ドル・ドラ
5031,SR,お注射天使リリー
5032,SR,リーフ・フェアリー
5033,N,アーマード・フライ
5034,N,サイファー・スカウター
5035,R,X・E・N・O
5036,N,魂喰らい
5037,R,ニュート
5038,N,シェイプ・スナッチ
